Title	Content	Publish Date	Sentiment
Apple HomePods now have native YouTube Music support	"The Venn diagram of HomePod
 owners and YouTube Music
 subscribers probably doesn't have a lot of overlap. However, those who use both Apple's speakers and Google's music streaming service may be p… [+1487 chars]"	2023-10-23T18:04:28Z	-
"A movie theater staffer describes what it was like to work Taylor Swift's Eras Tour film premiere, which was so loud it blew out 2 amps"	"Swifties descended upon movie theaters over the weekend.FREDERIC J. BROWN/AFP via Getty Images
<ul><li>The Eras Tour film opened last weekend in movie theaters around the world.</li><li>Some theater… [+3321 chars]"	2023-10-21T11:59:01Z	N
A Ranking of Taylor Swift’s ‘From the Vault’ Songs	"When Taylor Swift announced in 2019 that she would be re-recording her first six albums in an effort to reclaim her original music, fans began eagerly anticipating the opportunity to revisit the past… [+11985 chars]"	2023-10-25T15:30:13Z	P
Why do people think Taylor Swift secretly wrote Henry Cavill’s new spy movie?	"If you buy something from a Polygon link, Vox Media may earn a commission. See our ethics statement.Argylle is an upcoming spy movie from Kingsman director Matthew Vaughn, starring Bryce Dallas Howar… [+7598 chars]"	2023-10-24T14:00:00Z	P
Innovative Ways to Demand an N.B.A. Trade	"Basketball season is upon us, after an offseason that featured multiple trade requests across the league. The traditional way of requesting to be traded in the N.B.A. is the player or his representat… [+4507 chars]"	2023-10-23T16:06:21Z	P
CBS Shows Just How Much Taylor Swift Affects Travis Kelce’s Game	"The NFL is definitely benefiting from Travis Kelce and Taylor Swifts relationship, but now theres more evidence that Kelce is, too.
The Kansas City Chiefs tight end had 12 catches for 179 yards and … [+1231 chars]"	2023-10-23T17:52:34Z	P
How Marc Andreessen is like Robert Moses: ‘It’s time to build’ AI  | The AI Beat	"VentureBeat presents: AI Unleashed - An exclusive executive event for enterprise data leaders. Network and learn with industry peers.Learn More
Did you spend your weekend driving down the New Jersey… [+1207 chars]"	2023-10-23T16:14:04Z	P
Here’s A Breakdown Of All Of The Taylor Swift Lyrics That Seemingly “Manifested” Her Relationship With Travis Kelce	"If Taylor and Travis ever almost break up, he has the opportunity to do the funniest thingLike if Taylor tells Travis they should talk about it (cause she read you should never leave a fight unresolv… [+110 chars]"	2023-10-20T12:14:29Z	P
Can ‘Taylor Swift: The Eras Tour’ Turn a Non-Swiftie? We Put It to the Test	"There’s a moment early on in Taylor Swift Era’s Tour concert film before she launches into her nearly dozen studio albums, but after she points to parts of the crowd to see how loud they’ll scream, w… [+10141 chars]"	2023-10-23T16:00:00Z	P
"Revisiting the hits, misses, and moments from Taylor Swift's original 1989"	"Looking at it now, it all seems so simple: the year was 2014, and Taylor Swift turned the world upside down by releasing a pure pop album called 1989. Already a superstar, 1989 sent Swift into the st… [+16146 chars]"	2023-10-24T15:00:00Z	P
Taylor Swift Just Made Box Office History With The Eras Tour	"Taylor Swift is continuing to demonstrate her tremendous star power as the best-selling, Grammy-winning artist just made history at the box office. Last weekend, ""Taylor Swift: The Eras Tour"" debuted… [+1574 chars]"	2023-10-24T19:00:51Z	P
Taylor Swift’s “Cruel Summer” hits No.1 on Hot 100 because we don't have seasons anymore	"Taylor Swift, perhaps, in between securing the top spot at the American box office for the second week and weeping at the breadth of her domain for there are no more worlds left to conquer, has made … [+1438 chars]"	2023-10-24T03:39:50Z	P
"Taylor Swift Earns 10th No. 1 Song With “Cruel Summer,” Reaches Singles Chart Milestone"	"Taylor Swift has landed her 10th No. 1 song on the Billboard Hot 100 chart with Cruel Summer. With that, shes now tied with Stevie Wonder and Janet Jackson for ninth place for the most No. 1 songs on… [+1261 chars]"	2023-10-23T23:23:30Z	P
Taylor Swift 'Eras' Film Review Goes Viral for Ridiculous Criticism	"Taylor Swift's 'Eras' film got torched by a critic who likened her movie to the downfall of society as we know it -- and all we can say about this over-the-top piece is ... holy crap.
This critique … [+2421 chars]"	2023-10-21T21:02:27Z	-
Taylor Swift’s “Cruel Summer” Hits #1 Four Years After Release	"When Taylor Swift released Lover in the summer of 2019, Swifties quickly identified the surging synth-pop track “Cruel Summer” as the album’s most obvious hit. But the song was never released as a si… [+1668 chars]"	2023-10-23T18:05:47Z	P
Taylor Swift Seemingly Teases Coffee-Themed ‘From the Vault’ Lyrics Ahead of ‘1989 TV’ Release	"This one is for the “lonely Starbucks lovers” conspiracists. On Tuesday, days before Taylor Swift is set to release her 1989 (Taylor’s Version), the singer shared a photo of what seems to be handwrit… [+2396 chars]"	2023-10-24T23:25:36Z	P
Killers Of The Flower Moon Tops The Wolf Of Wall Street With $23 Million Opening Weekend	"Hollywood's trifecta of old guard directors Ridley Scott, Steven Spielberg, and Martin Scorsese occupy a unique position in the modern Hollywood landscape. They have more misses than hits at the box … [+1512 chars]"	2023-10-21T16:38:19Z	-
"Taylor Swift is Attending Week 7 Chargers-Chiefs Game, Confirmed by a Bernie Kosar Selfie"	"NFL fans should probably accept that Taylor Swift appearing at Chiefs games is now a regular thing, considering her rumored relationship with Travis Kelce.
Word went out a couple of hours before Kan… [+1248 chars]"	2023-10-22T20:12:32Z	-
Dane Cook Lobbies AMC To Make Him Taylor Swift of Comedy Concert Movies	"Give Dane Cook credit -- the guy is always working it. As Taylor Swift continues to dominate the box office with her concert film The Eras Tour (sorry about that beatdown over the weekend, Martin Sco… [+2076 chars]"	2023-10-23T14:35:00Z	-
Taylor Swift Truly Has the Ultimate Ordinary Sneaker Collection	"Taylor Swift's personal style is a strong reflection of her cultural impact, such that it is. Part of the secret to Swift's success is that she proffers the most widely-approachable content in the bi… [+2131 chars]"	2023-10-24T20:28:19Z	P
Are Vintage Designer Clothes Actually Still Cool?	"Taylor Swift is a great bellwether for, well, almost anything. Swift's mass appeal makes her a living case study for phenomenon like ticket price furor and celebrity-driven demand, for instance. So, … [+4481 chars]"	2023-10-23T21:53:36Z	P
Travis Kelce’s Dad Ed Says Taylor Swift Didn’t Get the Diva Memo	"Taylor Swift is not just like us – she’s better. In his first interview since his son, Travis Kelce, went public with the “Karma” singer, Ed Kelce revealed to People Magazine the moment that showed h… [+2377 chars]"	2023-10-24T08:07:11Z	P
